I6883 Chrysocicada_sp
I7094 Chinaria_mexicana_or_similis
I6936 Magicicada_neotredecim
I16171	Monomatapa_matoposa
I16172	Nablistes_heterochroma
I16173	Trismarcha_sp1
I16182	Abricta_brunnea
I16183	Jassopsaltria_rufifacies
I16184	Xosopsaltria_thunbergi
I16185	Fractuosella_darwini
I16186	Lembeja_paradoxa
I16187	Lacetas_sp
I16188	Malagasia?_sp
I16232	Macrotristria_angularis_legs_only
I16233	Psaltoda_moerens
I16234	Arenopsaltria_unicolor
I16235	Neoplatypedia_constricta
I16236	Platypleura_capensis
I16237	Platypleura_capensis
I16238	Unknown_sp
I16239	Afzeliada_sp_1
I6865	Carineta_diardi
I6867	Cicadetta_fangoana
I6873	Okanagodes_gracilis
I6875	Platypedia_putnami
I6878	Tettigades_spArgentina
I6881	Tettigarcta_tomentosa
I6967	Abroma_kedenburgi
I6969	Acuticephala_sp
I6970	Aragualna_plenalinea
I6971	Azanicada_zuluensis
I6972	Beameria_venosa
I6974	Burbunga_distanti
I6976	Chilecicada_sp
I6977	Chlorocysta_suffusa
I6979	Chonosia_sp
I6981	Chremistica_blacksidespot
I6983	Chrysocicada_nrfranceaustralae
I6985	Cicada_orni
I6987	Cicadatra_atra
I6989	Clidophleps_vagans
I6991	Cryptotympana_atrata
I6993	Cyclochila_australasiae
I6995	Diceroprocta_viridifascia
I6997	Durangona_tigrina
I6998	Fidicina_amoena
I7000	Formotosena_sp
I7002	Gaeana_maculata
I7004	Graptopsaltria_nigrofuscata
I7006	Hamza_sp_sp
I7007	Huechys_sanguinea
I7009	Hyalessa_Sonata_maculaticollis
I7012	Katoa_green
I7014	Lamotialna_sp
I7016	Malagasia_sp
I7017	Maroboduus_Ydiella_gilloni
I7019	Mogannia_hebes
I7021	Muda_sp3
I7023	Nosola_paradoxa
I7025	Okanagana_canadensis
I7027	Pagiphora_annulata
I7030	Platypleura_catenata
I7032	Pycna_semiclara
I7034	Quesada_gigas
I7036	Quintilia_weali
I7037	RATTLE-STRIPE_sp
I7039	Selymbria_stigmatica
I7041	Stagira_sp
I7043	Tacua_speciosa
I7045	Talainga_sp
I7047	Talcopsaltria_olivei
I7048	Taphura_sp
I7050	Tettigades_ulnaria
I7051	Tettigomyia_sp
I7052	Thopha_saccata
I7054	Tibicina_haematodes
I7056	Tosena_sp
I7059	Tryella_willsi
I7061	Ugada_limbata
I7063	Venustria_superba
I7065	Zouga_peddi
I7066	Borencona_aguadilla
I7068	Chinaria_vivianae
I7070	Miranha_imbellis
I7072	N_gen_zammarine_tepui
I7073	Odopoea_insignifera
I7074	Odopoea_signoreti
I7078	Procollina_broadguate
I7079	ProcollinaQ_ProcollinaQ
I7082	Uhleroides_Cuba
I7083	Zammara_ernaQ
I7089	Zammara_tympanum
I7094	Chinaria_mexicana/similis
I9977	Daza_montezuma
I9978	Distantada_thomasseti
I9980	Tamasa_tristigma
I9981	Tettigarcta_crinita
I9982	Tibicen_nrresonans
I9991	Chremistica_ribhoi
I9992	Dundubia__sp
I9994	Platypleurini_sp
I9995	Platypleurini_sp
I7029	Parnisa_sp
